number,start,optimal_lr,iterations,method
0,"[0.57707669095559622, 0.44067635807107508, 0.60539538831919915, 0.14942656186688946, 0.83150836762443958, 0.79552458922075586, 0.68957422022640402, 0.21637404335676302, 0.45835850547784479, -0.56464812034977774]",0.01,5000,momentum
0,"[0.57707669095559622, 0.44067635807107508, 0.60539538831919915, 0.14942656186688946, 0.83150836762443958, 0.79552458922075586, 0.68957422022640402, 0.21637404335676302, 0.45835850547784479, -0.56464812034977774]",0.3,4959,adam
0,"[0.57707669095559622, 0.44067635807107508, 0.60539538831919915, 0.14942656186688946, 0.83150836762443958, 0.79552458922075586, 0.68957422022640402, 0.21637404335676302, 0.45835850547784479, -0.56464812034977774]",0.068,5000,adadelta
0,"[0.57707669095559622, 0.44067635807107508, 0.60539538831919915, 0.14942656186688946, 0.83150836762443958, 0.79552458922075586, 0.68957422022640402, 0.21637404335676302, 0.45835850547784479, -0.56464812034977774]",0.068,5000,adagrad
0,"[0.57182971880787237, 0.42866196584842581, 0.57809131123544211, 0.20451459752832066, 0.88985279090161939, 1.089841631127737, 0.42381377334705772, -0.31474184971391728, -0.12686634288927834, 0.13907681006129033]",0.01,5000,momentum
0,"[0.57182971880787237, 0.42866196584842581, 0.57809131123544211, 0.20451459752832066, 0.88985279090161939, 1.089841631127737, 0.42381377334705772, -0.31474184971391728, -0.12686634288927834, 0.13907681006129033]",0.242,4995,adam
0,"[0.57182971880787237, 0.42866196584842581, 0.57809131123544211, 0.20451459752832066, 0.88985279090161939, 1.089841631127737, 0.42381377334705772, -0.31474184971391728, -0.12686634288927834, 0.13907681006129033]",0.068,5000,adadelta
0,"[0.57182971880787237, 0.42866196584842581, 0.57809131123544211, 0.20451459752832066, 0.88985279090161939, 1.089841631127737, 0.42381377334705772, -0.31474184971391728, -0.12686634288927834, 0.13907681006129033]",0.068,5000,adagrad
0,"[0.56969652146856187, 0.42801929224341617, 0.57120512240386301, 0.20914540129062387, 0.8085158222571126, 0.83185183449744582, 0.6520861096174293, 0.2719534590290954, -0.056537440423947927, -0.35354680268273475]",0.01,5000,momentum
0,"[0.56969652146856187, 0.42801929224341617, 0.57120512240386301, 0.20914540129062387, 0.8085158222571126, 0.83185183449744582, 0.6520861096174293, 0.2719534590290954, -0.056537440423947927, -0.35354680268273475]",0.068,4987,adam
0,"[0.56969652146856187, 0.42801929224341617, 0.57120512240386301, 0.20914540129062387, 0.8085158222571126, 0.83185183449744582, 0.6520861096174293, 0.2719534590290954, -0.056537440423947927, -0.35354680268273475]",0.068,5000,adadelta
0,"[0.56969652146856187, 0.42801929224341617, 0.57120512240386301, 0.20914540129062387, 0.8085158222571126, 0.83185183449744582, 0.6520861096174293, 0.2719534590290954, -0.056537440423947927, -0.35354680268273475]",0.068,5000,adagrad
0,"[0.40273266697492294, 0.07849605486369754, -0.23355837770965771]",0.01,5000,momentum
0,"[0.40273266697492294, 0.07849605486369754, -0.23355837770965771]",0.3,4970,adam
0,"[0.40273266697492294, 0.07849605486369754, -0.23355837770965771]",0.068,5000,adadelta
0,"[0.40273266697492294, 0.07849605486369754, -0.23355837770965771]",0.068,5000,adagrad
0,"[0.16334588068169992, -0.33492033044178016, 0.8232135999164667]",0.01,5000,momentum
0,"[0.16334588068169992, -0.33492033044178016, 0.8232135999164667]",0.184,4999,adam
0,"[0.16334588068169992, -0.33492033044178016, 0.8232135999164667]",0.068,5000,adadelta
0,"[0.16334588068169992, -0.33492033044178016, 0.8232135999164667]",0.068,5000,adagrad
0,"[1.3139843187380051, 0.11680277174423692, 0.97955678547422276]",0.01,5000,momentum
0,"[1.3139843187380051, 0.11680277174423692, 0.97955678547422276]",0.242,4968,adam
0,"[1.3139843187380051, 0.11680277174423692, 0.97955678547422276]",0.068,5000,adadelta
0,"[1.3139843187380051, 0.11680277174423692, 0.97955678547422276]",0.068,5000,adagrad
1,"[0.081326748971409818, 0.60242390933449452, 0.18490731369532709]",0.01,5000,momentum
1,"[0.081326748971409818, 0.60242390933449452, 0.18490731369532709]",0.01,5000,adam
1,"[0.081326748971409818, 0.60242390933449452, 0.18490731369532709]",0.068,5000,adadelta
1,"[0.081326748971409818, 0.60242390933449452, 0.18490731369532709]",0.068,5000,adagrad
1,"[-0.15806003732181323, 0.18900752402901688, 1.2416792913214514]",0.01,5000,momentum
1,"[-0.15806003732181323, 0.18900752402901688, 1.2416792913214514]",0.01,5000,adam
1,"[-0.15806003732181323, 0.18900752402901688, 1.2416792913214514]",0.068,5000,adadelta
1,"[-0.15806003732181323, 0.18900752402901688, 1.2416792913214514]",0.068,5000,adagrad
1,"[0.99257840073449199, 0.64073062621503396, 1.3980224768792076]",0.01,5000,momentum
1,"[0.99257840073449199, 0.64073062621503396, 1.3980224768792076]",0.242,4999,adam
1,"[0.99257840073449199, 0.64073062621503396, 1.3980224768792076]",0.068,5000,adadelta
1,"[0.99257840073449199, 0.64073062621503396, 1.3980224768792076]",0.068,5000,adagrad
