METHOD,LR,VALUE
momentum,0.01,0.293288
momentum,0.01,0.268911
momentum,0.01,0.258585
momentum,0.01,0.253755
momentum,0.01,0.251665
momentum,0.01,0.250866
momentum,0.01,0.250446
momentum,0.01,0.250223
momentum,0.01,0.250099
momentum,0.01,0.25004
momentum,0.01,0.250025
momentum,0.01,0.250014
momentum,0.01,0.250006
momentum,0.01,0.250001
momentum,0.01,0.249998
momentum,0.01,0.249998
momentum,0.01,0.249997
momentum,0.01,0.249997
momentum,0.01,0.249997
momentum,0.01,0.249997
momentum,0.01,0.249997
momentum,0.01,0.249997
momentum,0.01,0.249997
momentum,0.01,0.249997
momentum,0.01,0.249997
momentum,0.01,0.249997
momentum,0.01,0.249997
momentum,0.01,0.249997
momentum,0.01,0.249997
momentum,0.01,0.249997
momentum,0.01,0.249997
momentum,0.01,0.249997
momentum,0.01,0.249997
momentum,0.01,0.249997
momentum,0.01,0.249997
momentum,0.01,0.249997
momentum,0.01,0.249997
momentum,0.01,0.249997
momentum,0.01,0.249997
momentum,0.01,0.249997
momentum,0.01,0.249997
momentum,0.01,0.249997
momentum,0.01,0.249997
momentum,0.01,0.249997
momentum,0.01,0.249997
momentum,0.01,0.249997
momentum,0.01,0.249997
momentum,0.01,0.249997
momentum,0.01,0.249997
momentum,0.01,0.249997
momentum,0.01,0.249997
momentum,0.01,0.249997
momentum,0.01,0.249997
momentum,0.01,0.249997
momentum,0.01,0.249997
momentum,0.01,0.249997
momentum,0.01,0.249997
momentum,0.01,0.249997
momentum,0.01,0.249997
momentum,0.01,0.249997
momentum,0.01,0.249997
momentum,0.01,0.249997
momentum,0.01,0.249997
momentum,0.01,0.249997
momentum,0.01,0.249997
momentum,0.01,0.249997
momentum,0.01,0.249997
momentum,0.01,0.249997
momentum,0.01,0.249997
momentum,0.01,0.249997
momentum,0.01,0.249997
momentum,0.01,0.249997
momentum,0.01,0.249997
momentum,0.01,0.249997
momentum,0.01,0.249997
momentum,0.01,0.249997
momentum,0.01,0.249997
momentum,0.01,0.249997
momentum,0.01,0.249997
momentum,0.01,0.249997
momentum,0.01,0.249997
momentum,0.01,0.249997
momentum,0.01,0.249997
momentum,0.01,0.249997
momentum,0.01,0.249997
momentum,0.01,0.249997
momentum,0.01,0.249997
momentum,0.01,0.249997
momentum,0.01,0.249997
momentum,0.01,0.249997
momentum,0.01,0.249997
momentum,0.01,0.249997
momentum,0.01,0.249997
momentum,0.01,0.249997
momentum,0.01,0.249997
momentum,0.01,0.249997
momentum,0.01,0.249997
momentum,0.01,0.249997
momentum,0.01,0.249997
momentum,0.01,0.249997
momentum,0.01,0.249997
momentum,0.01,0.249997
momentum,0.01,0.249997
momentum,0.01,0.249997
momentum,0.01,0.249997
momentum,0.01,0.249997
momentum,0.01,0.249997
momentum,0.01,0.249997
momentum,0.01,0.249997
momentum,0.01,0.249997
momentum,0.01,0.249997
momentum,0.01,0.249997
momentum,0.01,0.249997
momentum,0.01,0.249997
momentum,0.01,0.249997
momentum,0.01,0.249997
momentum,0.01,0.249997
momentum,0.01,0.249997
momentum,0.01,0.249997
momentum,0.01,0.249997
momentum,0.01,0.249997
momentum,0.01,0.249997
momentum,0.01,0.249997
momentum,0.01,0.249997
momentum,0.01,0.249997
momentum,0.01,0.249997
momentum,0.01,0.249997
momentum,0.01,0.249997
momentum,0.01,0.249997
momentum,0.01,0.249997
momentum,0.01,0.249997
momentum,0.01,0.249997
momentum,0.01,0.249997
momentum,0.01,0.249997
momentum,0.01,0.249997
momentum,0.01,0.249997
momentum,0.01,0.249997
momentum,0.01,0.249997
momentum,0.01,0.249997
momentum,0.01,0.249997
momentum,0.01,0.249997
momentum,0.01,0.249997
momentum,0.01,0.249997
momentum,0.01,0.249997
momentum,0.01,0.249997
momentum,0.01,0.249997
momentum,0.01,0.249997
momentum,0.01,0.249997
momentum,0.01,0.249997
momentum,0.01,0.249997
momentum,0.01,0.249997
momentum,0.01,0.249997
momentum,0.01,0.249997
momentum,0.01,0.249997
momentum,0.01,0.249997
momentum,0.01,0.249997
momentum,0.01,0.249997
momentum,0.01,0.249997
momentum,0.01,0.249997
momentum,0.01,0.249997
momentum,0.01,0.249997
momentum,0.01,0.249997
momentum,0.01,0.249997
momentum,0.01,0.249997
momentum,0.01,0.249997
momentum,0.01,0.249997
momentum,0.01,0.249997
momentum,0.01,0.249997
momentum,0.01,0.249997
momentum,0.01,0.249997
momentum,0.01,0.249997
momentum,0.01,0.249997
momentum,0.01,0.249997
momentum,0.01,0.249997
momentum,0.01,0.249997
momentum,0.01,0.249997
momentum,0.01,0.249997
momentum,0.01,0.249997
momentum,0.01,0.249997
momentum,0.01,0.249997
momentum,0.01,0.249997
momentum,0.01,0.249997
momentum,0.01,0.249997
momentum,0.01,0.249997
momentum,0.01,0.249997
momentum,0.01,0.249997
momentum,0.01,0.249997
momentum,0.01,0.249997
momentum,0.01,0.249997
momentum,0.01,0.249997
momentum,0.01,0.249997
momentum,0.01,0.249997
momentum,0.01,0.249997
momentum,0.01,0.249997
momentum,0.01,0.249997
momentum,0.01,0.249997
momentum,0.01,0.249997
momentum,0.01,0.249997
momentum,0.0422222222222,0.267362
momentum,0.0422222222222,0.253976
momentum,0.0422222222222,0.251088
momentum,0.0422222222222,0.250368
momentum,0.0422222222222,0.250133
momentum,0.0422222222222,0.250038
momentum,0.0422222222222,0.250012
momentum,0.0422222222222,0.250003
momentum,0.0422222222222,0.249999
momentum,0.0422222222222,0.249997
momentum,0.0422222222222,0.249997
momentum,0.0422222222222,0.249997
momentum,0.0422222222222,0.249997
momentum,0.0422222222222,0.249997
momentum,0.0422222222222,0.249997
momentum,0.0422222222222,0.249997
momentum,0.0422222222222,0.249997
momentum,0.0422222222222,0.249997
momentum,0.0422222222222,0.249997
momentum,0.0422222222222,0.249997
momentum,0.0422222222222,0.249997
momentum,0.0422222222222,0.249997
momentum,0.0422222222222,0.249997
momentum,0.0422222222222,0.249997
momentum,0.0422222222222,0.249997
momentum,0.0422222222222,0.249997
momentum,0.0422222222222,0.249997
momentum,0.0422222222222,0.249997
momentum,0.0422222222222,0.249997
momentum,0.0422222222222,0.249997
momentum,0.0422222222222,0.249997
momentum,0.0422222222222,0.249997
momentum,0.0422222222222,0.249997
momentum,0.0422222222222,0.249997
momentum,0.0422222222222,0.249997
momentum,0.0422222222222,0.249997
momentum,0.0422222222222,0.249997
momentum,0.0422222222222,0.249997
momentum,0.0422222222222,0.249997
momentum,0.0422222222222,0.249997
momentum,0.0422222222222,0.249997
momentum,0.0422222222222,0.249997
momentum,0.0422222222222,0.249997
momentum,0.0422222222222,0.249997
momentum,0.0422222222222,0.249997
momentum,0.0422222222222,0.249997
momentum,0.0422222222222,0.249997
momentum,0.0422222222222,0.249997
momentum,0.0422222222222,0.249997
momentum,0.0422222222222,0.249997
momentum,0.0422222222222,0.249997
momentum,0.0422222222222,0.249997
momentum,0.0422222222222,0.249997
momentum,0.0422222222222,0.249997
momentum,0.0422222222222,0.249997
momentum,0.0422222222222,0.249997
momentum,0.0422222222222,0.249997
momentum,0.0422222222222,0.249997
momentum,0.0422222222222,0.249997
momentum,0.0422222222222,0.249997
momentum,0.0422222222222,0.249997
momentum,0.0422222222222,0.249997
momentum,0.0422222222222,0.249997
momentum,0.0422222222222,0.249997
momentum,0.0422222222222,0.249997
momentum,0.0422222222222,0.249997
momentum,0.0422222222222,0.249997
momentum,0.0422222222222,0.249997
momentum,0.0422222222222,0.249997
momentum,0.0422222222222,0.249997
momentum,0.0422222222222,0.249997
momentum,0.0422222222222,0.249997
momentum,0.0422222222222,0.249997
momentum,0.0422222222222,0.249997
momentum,0.0422222222222,0.249997
momentum,0.0422222222222,0.249997
momentum,0.0422222222222,0.249997
momentum,0.0422222222222,0.249997
momentum,0.0422222222222,0.249997
momentum,0.0422222222222,0.249997
momentum,0.0422222222222,0.249997
momentum,0.0422222222222,0.249997
momentum,0.0422222222222,0.249997
momentum,0.0422222222222,0.249997
momentum,0.0422222222222,0.249997
momentum,0.0422222222222,0.249997
momentum,0.0422222222222,0.249997
momentum,0.0422222222222,0.249997
momentum,0.0422222222222,0.249997
momentum,0.0422222222222,0.249997
momentum,0.0422222222222,0.249997
momentum,0.0422222222222,0.249997
momentum,0.0422222222222,0.249997
momentum,0.0422222222222,0.249997
momentum,0.0422222222222,0.249997
momentum,0.0422222222222,0.249997
momentum,0.0422222222222,0.249997
momentum,0.0422222222222,0.249997
momentum,0.0422222222222,0.249997
momentum,0.0422222222222,0.249997
momentum,0.0422222222222,0.249997
momentum,0.0422222222222,0.249997
momentum,0.0422222222222,0.249997
momentum,0.0422222222222,0.249997
momentum,0.0422222222222,0.249997
momentum,0.0422222222222,0.249997
momentum,0.0422222222222,0.249997
momentum,0.0422222222222,0.249997
momentum,0.0422222222222,0.249997
momentum,0.0422222222222,0.249997
momentum,0.0422222222222,0.249997
momentum,0.0422222222222,0.249997
momentum,0.0422222222222,0.249997
momentum,0.0422222222222,0.249997
momentum,0.0422222222222,0.249997
momentum,0.0422222222222,0.249997
momentum,0.0422222222222,0.249997
momentum,0.0422222222222,0.249997
momentum,0.0422222222222,0.249997
momentum,0.0422222222222,0.249997
momentum,0.0422222222222,0.249997
momentum,0.0422222222222,0.249997
momentum,0.0422222222222,0.249997
momentum,0.0422222222222,0.249997
momentum,0.0422222222222,0.249997
momentum,0.0422222222222,0.249997
momentum,0.0422222222222,0.249997
momentum,0.0422222222222,0.249997
momentum,0.0422222222222,0.249997
momentum,0.0422222222222,0.249997
momentum,0.0422222222222,0.249997
momentum,0.0422222222222,0.249997
momentum,0.0422222222222,0.249997
momentum,0.0422222222222,0.249997
momentum,0.0422222222222,0.249997
momentum,0.0422222222222,0.249997
momentum,0.0422222222222,0.249997
momentum,0.0422222222222,0.249997
momentum,0.0422222222222,0.249997
momentum,0.0422222222222,0.249997
momentum,0.0422222222222,0.249997
momentum,0.0422222222222,0.249997
momentum,0.0422222222222,0.249997
momentum,0.0422222222222,0.249997
momentum,0.0422222222222,0.249997
momentum,0.0422222222222,0.249997
momentum,0.0422222222222,0.249997
momentum,0.0422222222222,0.249997
momentum,0.0422222222222,0.249997
momentum,0.0422222222222,0.249997
momentum,0.0422222222222,0.249997
momentum,0.0422222222222,0.249997
momentum,0.0422222222222,0.249997
momentum,0.0422222222222,0.249997
momentum,0.0422222222222,0.249997
momentum,0.0422222222222,0.249997
momentum,0.0422222222222,0.249997
momentum,0.0422222222222,0.249997
momentum,0.0422222222222,0.249997
momentum,0.0422222222222,0.249997
momentum,0.0422222222222,0.249997
momentum,0.0422222222222,0.249997
momentum,0.0422222222222,0.249997
momentum,0.0422222222222,0.249997
momentum,0.0422222222222,0.249997
momentum,0.0422222222222,0.249997
momentum,0.0422222222222,0.249997
momentum,0.0422222222222,0.249997
momentum,0.0422222222222,0.249997
momentum,0.0422222222222,0.249997
momentum,0.0422222222222,0.249997
momentum,0.0422222222222,0.249997
momentum,0.0422222222222,0.249997
momentum,0.0422222222222,0.249997
momentum,0.0422222222222,0.249997
momentum,0.0422222222222,0.249997
momentum,0.0422222222222,0.249997
momentum,0.0422222222222,0.249997
momentum,0.0422222222222,0.249997
momentum,0.0422222222222,0.249997
momentum,0.0422222222222,0.249997
momentum,0.0422222222222,0.249997
momentum,0.0422222222222,0.249997
momentum,0.0422222222222,0.249997
momentum,0.0422222222222,0.249997
momentum,0.0422222222222,0.249997
momentum,0.0422222222222,0.249997
momentum,0.0422222222222,0.249997
momentum,0.0422222222222,0.249997
momentum,0.0422222222222,0.249997
