method,learning_rate,value
momentum,0.01,0.469196
momentum,0.01,0.459475
momentum,0.01,0.457596
momentum,0.01,0.456996
momentum,0.01,0.456883
momentum,0.01,0.456849
momentum,0.01,0.456837
momentum,0.01,0.456833
momentum,0.01,0.456832
momentum,0.01,0.456831
momentum,0.01,0.456831
momentum,0.01,0.456831
momentum,0.01,0.456831
momentum,0.01,0.456831
momentum,0.01,0.456831
momentum,0.01,0.456831
momentum,0.01,0.456831
momentum,0.01,0.456831
momentum,0.01,0.456831
momentum,0.01,0.456831
momentum,0.01,0.456831
momentum,0.01,0.456831
momentum,0.01,0.456831
momentum,0.01,0.456831
momentum,0.01,0.456831
momentum,0.01,0.456831
momentum,0.01,0.456831
momentum,0.01,0.456831
momentum,0.01,0.456831
momentum,0.01,0.456831
momentum,0.01,0.456831
momentum,0.01,0.456831
momentum,0.01,0.456831
momentum,0.01,0.456831
momentum,0.01,0.456831
momentum,0.01,0.456831
momentum,0.01,0.456831
momentum,0.01,0.456831
momentum,0.01,0.456831
momentum,0.01,0.456831
momentum,0.01,0.456831
momentum,0.01,0.456831
momentum,0.01,0.456831
momentum,0.01,0.456831
momentum,0.01,0.456831
momentum,0.01,0.456831
momentum,0.01,0.456831
momentum,0.01,0.456831
momentum,0.068,0.45894
momentum,0.068,0.457165
momentum,0.068,0.456896
momentum,0.068,0.456844
momentum,0.068,0.456834
momentum,0.068,0.456832
momentum,0.068,0.456831
momentum,0.068,0.456831
momentum,0.068,0.456831
momentum,0.068,0.456831
momentum,0.068,0.456831
momentum,0.068,0.456831
momentum,0.068,0.456831
momentum,0.068,0.456831
momentum,0.068,0.456831
momentum,0.068,0.456831
momentum,0.068,0.456831
momentum,0.068,0.456831
momentum,0.068,0.456831
momentum,0.068,0.456831
momentum,0.068,0.456831
momentum,0.068,0.456831
momentum,0.068,0.456831
momentum,0.068,0.456831
momentum,0.068,0.456831
momentum,0.068,0.456831
momentum,0.068,0.456831
momentum,0.068,0.456831
momentum,0.068,0.456831
momentum,0.068,0.456831
momentum,0.068,0.456831
momentum,0.068,0.456831
momentum,0.068,0.456831
momentum,0.068,0.456831
momentum,0.068,0.456831
momentum,0.068,0.456831
momentum,0.068,0.456831
momentum,0.068,0.456831
momentum,0.068,0.456831
momentum,0.068,0.456831
momentum,0.068,0.456831
momentum,0.068,0.456831
momentum,0.068,0.456831
momentum,0.068,0.456831
momentum,0.068,0.456831
momentum,0.068,0.456831
momentum,0.068,0.456831
momentum,0.068,0.456831
momentum,0.126,0.457873
momentum,0.126,0.456929
momentum,0.126,0.456843
momentum,0.126,0.456832
momentum,0.126,0.456831
momentum,0.126,0.456831
momentum,0.126,0.456831
momentum,0.126,0.456831
momentum,0.126,0.456831
momentum,0.126,0.456831
momentum,0.126,0.456831
momentum,0.126,0.456831
momentum,0.126,0.456831
momentum,0.126,0.456831
momentum,0.126,0.456831
momentum,0.126,0.456831
momentum,0.126,0.456831
momentum,0.126,0.456831
momentum,0.126,0.456831
momentum,0.126,0.456831
momentum,0.126,0.456831
momentum,0.126,0.456831
momentum,0.126,0.456831
momentum,0.126,0.456831
momentum,0.126,0.456831
momentum,0.126,0.456831
momentum,0.126,0.456831
momentum,0.126,0.456831
momentum,0.126,0.456831
momentum,0.126,0.456831
momentum,0.126,0.456831
momentum,0.126,0.456831
momentum,0.126,0.456831
momentum,0.126,0.456831
momentum,0.126,0.456831
momentum,0.126,0.456831
momentum,0.126,0.456831
momentum,0.126,0.456831
momentum,0.126,0.456831
momentum,0.126,0.456831
momentum,0.126,0.456831
momentum,0.126,0.456831
momentum,0.126,0.456831
momentum,0.126,0.456831
momentum,0.126,0.456831
momentum,0.126,0.456831
momentum,0.126,0.456831
momentum,0.126,0.456831
momentum,0.184,0.457354
momentum,0.184,0.456865
momentum,0.184,0.456833
momentum,0.184,0.456831
momentum,0.184,0.456831
momentum,0.184,0.456831
momentum,0.184,0.456831
momentum,0.184,0.456831
momentum,0.184,0.456831
momentum,0.184,0.456831
momentum,0.184,0.456831
momentum,0.184,0.456831
momentum,0.184,0.456831
momentum,0.184,0.456831
momentum,0.184,0.456831
momentum,0.184,0.456831
momentum,0.184,0.456831
momentum,0.184,0.456831
momentum,0.184,0.456831
momentum,0.184,0.456831
momentum,0.184,0.456831
momentum,0.184,0.456831
momentum,0.184,0.456831
momentum,0.184,0.456831
momentum,0.184,0.456831
momentum,0.184,0.456831
momentum,0.184,0.456831
momentum,0.184,0.456831
momentum,0.184,0.456831
momentum,0.184,0.456831
momentum,0.184,0.456831
momentum,0.184,0.456831
momentum,0.184,0.456831
momentum,0.184,0.456831
momentum,0.184,0.456831
momentum,0.184,0.456831
momentum,0.184,0.456831
momentum,0.184,0.456831
momentum,0.184,0.456831
momentum,0.184,0.456831
momentum,0.184,0.456831
momentum,0.184,0.456831
momentum,0.184,0.456831
momentum,0.184,0.456831
momentum,0.184,0.456831
momentum,0.184,0.456831
momentum,0.184,0.456831
momentum,0.184,0.456831
momentum,0.242,0.457129
momentum,0.242,0.456842
momentum,0.242,0.456832
momentum,0.242,0.456831
momentum,0.242,0.456831
momentum,0.242,0.456831
momentum,0.242,0.456831
momentum,0.242,0.456831
momentum,0.242,0.456831
momentum,0.242,0.456831
momentum,0.242,0.456831
momentum,0.242,0.456831
momentum,0.242,0.456831
momentum,0.242,0.456831
momentum,0.242,0.456831
momentum,0.242,0.456831
momentum,0.242,0.456831
momentum,0.242,0.456831
momentum,0.242,0.456831
momentum,0.242,0.456831
momentum,0.242,0.456831
momentum,0.242,0.456831
momentum,0.242,0.456831
momentum,0.242,0.456831
momentum,0.242,0.456831
momentum,0.242,0.456831
momentum,0.242,0.456831
momentum,0.242,0.456831
momentum,0.242,0.456831
momentum,0.242,0.456831
momentum,0.242,0.456831
momentum,0.242,0.456831
momentum,0.242,0.456831
momentum,0.242,0.456831
momentum,0.242,0.456831
momentum,0.242,0.456831
momentum,0.242,0.456831
momentum,0.242,0.456831
momentum,0.242,0.456831
momentum,0.242,0.456831
momentum,0.242,0.456831
momentum,0.242,0.456831
momentum,0.242,0.456831
momentum,0.242,0.456831
momentum,0.242,0.456831
momentum,0.242,0.456831
momentum,0.242,0.456831
momentum,0.242,0.456831
momentum,0.3,0.45699
momentum,0.3,0.456835
momentum,0.3,0.456831
momentum,0.3,0.456831
momentum,0.3,0.456831
momentum,0.3,0.456831
momentum,0.3,0.456831
momentum,0.3,0.456831
momentum,0.3,0.456831
momentum,0.3,0.456831
momentum,0.3,0.456831
momentum,0.3,0.456831
momentum,0.3,0.456831
momentum,0.3,0.456831
momentum,0.3,0.456831
momentum,0.3,0.456831
momentum,0.3,0.456831
momentum,0.3,0.456831
momentum,0.3,0.456831
momentum,0.3,0.456831
momentum,0.3,0.456831
momentum,0.3,0.456831
momentum,0.3,0.456831
momentum,0.3,0.456831
momentum,0.3,0.456831
momentum,0.3,0.456831
momentum,0.3,0.456831
momentum,0.3,0.456831
momentum,0.3,0.456831
momentum,0.3,0.456831
momentum,0.3,0.456831
momentum,0.3,0.456831
momentum,0.3,0.456831
momentum,0.3,0.456831
momentum,0.3,0.456831
momentum,0.3,0.456831
momentum,0.3,0.456831
momentum,0.3,0.456831
momentum,0.3,0.456831
momentum,0.3,0.456831
momentum,0.3,0.456831
momentum,0.3,0.456831
momentum,0.3,0.456831
momentum,0.3,0.456831
momentum,0.3,0.456831
momentum,0.3,0.456831
momentum,0.3,0.456831
momentum,0.3,0.456831
adam,0.01,0.457024
adam,0.01,0.456831
adam,0.01,0.456831
adam,0.01,0.456831
adam,0.01,0.456831
adam,0.01,0.456831
adam,0.01,0.456831
adam,0.01,0.456831
adam,0.01,0.456831
adam,0.01,0.456831
adam,0.01,0.456831
adam,0.01,0.456831
adam,0.01,0.456831
adam,0.01,0.456831
adam,0.01,0.456831
adam,0.01,0.456831
adam,0.01,0.456831
adam,0.01,0.456831
adam,0.01,0.456831
adam,0.01,0.456831
adam,0.01,0.456831
adam,0.01,0.456831
adam,0.01,0.456831
adam,0.01,0.456831
adam,0.01,0.456831
adam,0.01,0.456831
adam,0.01,0.456831
adam,0.01,0.456831
adam,0.01,0.456831
adam,0.01,0.456831
adam,0.01,0.456831
adam,0.01,0.456831
adam,0.01,0.456831
adam,0.01,0.456831
adam,0.01,0.456831
adam,0.01,0.456831
adam,0.01,0.456831
adam,0.01,0.456831
adam,0.01,0.456831
adam,0.01,0.456831
adam,0.01,0.456831
adam,0.01,0.456831
adam,0.01,0.456831
adam,0.01,0.456831
adam,0.01,0.456831
adam,0.01,0.456831
adam,0.01,0.456831
adam,0.01,0.456831
adam,0.068,0.456833
adam,0.068,0.456831
adam,0.068,0.456831
adam,0.068,0.456831
adam,0.068,0.456831
adam,0.068,0.456831
adam,0.068,0.456831
adam,0.068,0.456831
adam,0.068,0.456831
adam,0.068,0.456831
adam,0.068,0.456831
adam,0.068,0.456831
adam,0.068,0.456831
adam,0.068,0.456831
adam,0.068,0.456831
adam,0.068,0.456831
adam,0.068,0.456831
adam,0.068,0.456831
adam,0.068,0.456831
adam,0.068,0.456831
adam,0.068,0.456831
adam,0.068,0.456831
adam,0.068,0.456831
adam,0.068,0.456831
adam,0.068,0.456831
adam,0.068,0.456831
adam,0.068,0.456831
adam,0.068,0.456831
adam,0.068,0.456831
adam,0.068,0.456831
adam,0.068,0.456831
adam,0.068,0.456831
adam,0.068,0.456831
adam,0.068,0.456831
adam,0.068,0.456831
adam,0.068,0.456831
adam,0.068,0.456831
adam,0.068,0.456831
adam,0.068,0.456831
adam,0.068,0.456831
adam,0.068,0.456831
adam,0.068,0.456831
adam,0.068,0.456831
adam,0.068,0.456831
adam,0.068,0.456831
adam,0.068,0.456831
adam,0.068,0.456831
adam,0.068,0.456831
adam,0.126,0.456833
adam,0.126,0.456831
adam,0.126,0.456831
adam,0.126,0.456831
adam,0.126,0.456831
adam,0.126,0.456831
adam,0.126,0.456831
adam,0.126,0.456831
adam,0.126,0.456831
adam,0.126,0.456831
adam,0.126,0.456831
adam,0.126,0.456831
adam,0.126,0.456831
adam,0.126,0.456831
adam,0.126,0.456831
adam,0.126,0.456831
adam,0.126,0.456831
